Name;Mayores a 1;Pago 2;Pago;Despachos 2;Despacho;Monedas 2;Moneda;Subtotal;Precio despacho;Con o sin dcto;Total;Desc monto;Shipping Method 2;Shipping Method;Cantidad;Producto;Precio oferta;Venta total;Precio normal;SKU;status despacho;Ciudad 2;Ciudad;Codigo postal 2;Codigo postal;Region 2;Region
43352;Mayor a 1;Pagado;Pagado;Incompleto;Incompleto;CLP;CLP;19980;0;Sin descuento;19980;0;Retiro en tienda;Retiro en tienda;1;Zapatilla Brisbane CafÃ© Premium - Negro / 38;9990;9990;49990;1003204038;pending;Puente alto;Puente alto;SANTIAGO;SANTIAGO;RM;RM
43352;Mayor a 1;Pagado;;Incompleto;;CLP;;;;Sin descuento;;;Retiro en tienda;;1;Zapatilla Monserrat Multicolor Premium - Multicolor / 37;9990;9990;39990;0023072937;pending;Puente alto;;SANTIAGO;;RM;
43351;Mayor a 1;Pagado;Pagado;Sin despacho;Sin despacho;CLP;CLP;31984;0;Sin descuento;31984;7996;Retiro en tienda;Retiro en tienda;2;Botin Nueva Orleans  Negro Premium - Negro / 38;19990;39980;39990;6001202038;pending;Condes;Condes;CONFES;CONFES;RM;RM
43350;Mayor a 1;Pagado;Pagado;Sin despacho;Sin despacho;CLP;CLP;31984;0;Sin descuento;31984;7996;Retiro en tienda;Retiro en tienda;2;Botin Nueva Orleans  Negro Premium - Negro / 38;19990;39980;39990;6001202038;pending;Condes;Condes;CONDES;CONDES;RM;RM
43349;Solo 1;Pagado;Pagado;Sin despacho;Sin despacho;CLP;CLP;19990;3990; Con descueento;23980;0;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Bootie  Dallas  Premium - Negro / 37;19990;19990;39990;8802072037;pending;Las Condes ;Las Condes ;SANTIAGO;SANTIAGO;RM;RM
43348;Solo 1;Pagado;Pagado;Sin despacho;Sin despacho;CLP;CLP;19990;0;Sin descuento;19990;0;Retiro en tienda;Retiro en tienda;1;Botin Paris Burdeo Premium - Burdeo / 39;19990;19990;39990;8172078539;pending;Las condes;Las condes;SANTIAGO;SANTIAGO;RM;RM
43347;Mayor a 1;Pagado;Pagado;Sin despacho;Sin despacho;CLP;CLP;39980;12990; Con descueento;52970;0;Despacho Region;Despacho Region;1;Zapatilla Brisbane Negro Premium - Negro / 37;19990;19990;49990;1003202037;pending;Ovalle ;Ovalle ;OVALLE;OVALLE;CO;CO
43347;Mayor a 1;Pagado;;Sin despacho;;CLP;;;;Sin descuento;;;Despacho Region;;1;Zapatilla Chester Blanco Premium - Blanco / 38;19990;19990;49990;1000071038;pending;Ovalle ;;OVALLE;;CO;
43346;Solo 1;Pagado;Pagado;Sin despacho;Sin despacho;CLP;CLP;15992;0;Sin descuento;15992;3998;Retiro en tienda;Retiro en tienda;1;Zapatilla Brisbane Negro Premium - Negro / 36;19990;19990;49990;1003202036;pending;Confes;Confes;CONFES;CONFES;RM;RM
43345;Solo 1;Pagado;Pagado;Sin despacho;Sin despacho;CLP;CLP;15992;0;Sin descuento;15992;3998;Retiro en tienda;Retiro en tienda;1;Zapatilla Montreal  Premium - Negro / 35;19990;19990;39990;8381072035;pending;Conxes;Conxes;CONDES;CONDES;RM;RM
43344;Solo 1;Pagado;Pagado;Sin despacho;Sin despacho;CLP;CLP;19990;8290; Con descueento;28280;0;Despacho Region;Despacho Region;1;Botin Bucarest Taupe Premium - Taupe / 40;19990;19990;39990;3332184240;pending;Rancagua, (galilea F );Rancagua, (galilea F );RANCAGUA;RANCAGUA;LI;LI
43343;Mayor a 1;Pagado;Pagado;Sin despacho;Sin despacho;CLP;CLP;22960;9990; Con descueento;32950;0;Despacho Region Metropolitana;Despacho Region Metropolitana;3;Calcetin   Premium - Blanco / TamaÃ±o Ãšnico;990;2970;3990;0007501000;pending;Las Condes;Las Condes;'167547087;'167547087;RM;RM
43343;Mayor a 1;Pagado;;Sin despacho;;CLP;;;;Sin descuento;;;Despacho Region Metropolitana;;1;Botin Bucarest Taupe Premium - Taupe / 40;19990;19990;39990;3332184240;pending;Las Condes;;'167547087;;RM;
43342;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;29990;0;Sin descuento;29990;0;Retiro en tienda;Retiro en tienda;1;Zapatilla Angelica Blanco Premium - Blanco / 36;29990;29990;;0100071036;fulfilled;Vitacura;Vitacura;SANTIAGO;SANTIAGO;RM;RM
43341;Solo 1;Pagado;Pagado;Sin despacho;Sin despacho;CLP;CLP;19990;8290; Con descueento;28280;0;Despacho Region;Despacho Region;1;Zapatilla Moscow Negro Premium - Negro / 38;19990;19990;44990;1838072038;pending;Concepcion ;Concepcion ;CONCEPCION;CONCEPCION;BI;BI
43340;Solo 1;Pagado;Pagado;Sin despacho;Sin despacho;CLP;CLP;29990;3990; Con descueento;33980;0;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Zapatilla Angelica Negro Premium - Negro / 39;29990;29990;;0100072039;pending;Buin;Buin;SANTIAGO;SANTIAGO;RM;RM
43339;Mayor a 1;Pagado;Pagado;Sin despacho;Sin despacho;CLP;CLP;31984;0;Sin descuento;31984;7996;Retiro en tienda;Retiro en tienda;1;Zapatilla Brisbane Negro Premium - Negro / 39;19990;19990;49990;1003202039;pending;mxnn;mxnn;KZJ;KZJ;RM;RM
43339;Mayor a 1;Pagado;;Sin despacho;;CLP;;;;Sin descuento;;;Retiro en tienda;;1;Zapatilla Brisbane Negro Premium - Negro / 38;19990;19990;49990;1003202038;pending;mxnn;;KZJ;;RM;
43338;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;9990;3990; Con descueento;13980;0;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Zapatilla Monserrat Multicolor Premium - Multicolor / 38;9990;9990;39990;0023072938;fulfilled;Melipilla ;Melipilla ;MELIPILLA;MELIPILLA;RM;RM
43337;Solo 1;Pagado;Pagado;Sin despacho;Sin despacho;CLP;CLP;19990;8290; Con descueento;28280;0;Despacho Region;Despacho Region;1;Zapatilla Moscow Negro Premium - Negro / 36;19990;19990;44990;1838072036;pending;quilpue;quilpue;QUILPUE;QUILPUE;VS;VS
43336;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;19990;3990; Con descueento;23980;0;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Bota  Cleveland Negro Premium - Negro / 39;19990;19990;89990;0001002039;fulfilled;Las Condes;Las Condes;'7610368;'7610368;RM;RM
43335;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;19990;0;Sin descuento;19990;0;Retiro en tienda;Retiro en tienda;1;Zapatilla Moscow Negro Premium - Negro / 38;19990;19990;44990;1838072038;fulfilled;Condes;Condes;CONFES;CONFES;RM;RM
43334;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;15992;0;Sin descuento;15992;3998;Retiro en tienda;Retiro en tienda;1;Zapatilla Brisbane Negro Premium - Negro / 38;19990;19990;49990;1003202038;fulfilled;Villa alemana;Villa alemana;VILLAALEMANA;VILLAALEMANA;VS;VS
43333;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;15992;0;Sin descuento;15992;3998;Retiro en tienda;Retiro en tienda;1;Botin Nueva Orleans  Negro Premium - Negro / 35;19990;19990;39990;6001202035;fulfilled;Condes;Condes;CONFES;CONFES;RM;RM
43332;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;15992;0;Sin descuento;15992;3998;Retiro en tienda;Retiro en tienda;1;Zapatilla Montreal  Premium - Negro / 35;19990;19990;39990;8381072035;fulfilled;Condes;Condes;CONDES;CONDES;RM;RM
43331;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;19990;0;Sin descuento;19990;0;Retiro en tienda;Retiro en tienda;1;Zapatilla Moscow Negro Premium - Negro / 38;19990;19990;44990;1838072038;fulfilled;villa alemana;villa alemana;CONDES;;RM;RM
43330;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;15992;0;Sin descuento;15992;3998;Retiro en tienda;Retiro en tienda;1;Zapatilla Brisbane Negro Premium - Negro / 37;19990;19990;49990;1003202037;fulfilled;villa alemana;villa alemana;'6500000;'6500000;RM;RM
43329;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;19990;0;Sin descuento;19990;0;Retiro en tienda;Retiro en tienda;1;Zapatilla Moscow Negro Premium - Negro / 38;19990;19990;44990;1838072038;fulfilled;Conde;Conde;CONDES;CONDES;RM;RM
43328;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;15992;0;Sin descuento;15992;3998;Retiro en tienda;Retiro en tienda;1;Zapatilla Brisbane Negro Premium - Negro / 37;19990;19990;49990;1003202037;fulfilled;Condes;Condes;CONDES;CONDES;RM;RM
43327;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;15992;0;Sin descuento;15992;3998;Retiro en tienda;Retiro en tienda;1;Zapatilla Brisbane Negro Premium - Negro / 37;19990;19990;49990;1003202037;fulfilled;Confes;Confes;CONFES;CONFES;RM;RM
43326;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;15992;0;Sin descuento;15992;3998;Retiro en tienda;Retiro en tienda;1;Zapatilla Montreal  Premium - Negro / 35;19990;19990;39990;8381072035;fulfilled;Condes;Condes;CONDES;CONDES;RM;RM
43325;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;19990;8290; Con descueento;28280;0;Despacho Region;Despacho Region;1;Zapatilla Chester Blanco Premium - Blanco / 39;19990;19990;49990;1000071039;fulfilled;ALTO HOSPICIO;ALTO HOSPICIO;IQUIQUE;IQUIQUE;TA;TA
43324;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;34990;8290; Con descueento;43280;0;Despacho Region;Despacho Region;1;Zapatilla Nina Rosa Delux - Rosa / 37;34990;34990;49990;728-37;fulfilled;arica;arica;ARICA;ARICA;AP;AP
43323;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;34990;8290; Con descueento;43280;0;Despacho Region;Despacho Region;1;Zapatilla Frankfurt Blanco Premium - Blanco / 38;34990;34990;;1001201038;fulfilled;Talca ;Talca ;TALCA;TALCA;ML;ML
43322;Solo 1;Pagado;Pagado;Sin despacho;Sin despacho;CLP;CLP;19990;3990; Con descueento;23980;0;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Zapatilla Brisbane Negro Premium - Negro / 37;19990;19990;49990;1003202037;pending;MaipÃº;MaipÃº;'112654356;'112654356;RM;RM
43321;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;15992;0;Sin descuento;15992;3998;Retiro en tienda;Retiro en tienda;1;Zapatilla Brisbane Negro Premium - Negro / 37;19990;19990;49990;1003202037;fulfilled;Condes;Condes;CONDES;CONDES;RM;RM
43320;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;19990;3990; Con descueento;23980;0;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Zapatilla Moscow Negro Premium - Negro / 37;19990;19990;44990;1838072037;fulfilled;Hhcx;Hhcx;VCBK;VCBK;RM;RM
43319;Solo 1;Pagado;Pagado;Sin despacho;Sin despacho;CLP;CLP;19990;8290; Con descueento;28280;0;Despacho Region;Despacho Region;1;Zapatilla Chester Blanco Premium - Blanco / 40;19990;19990;49990;1000071040;pending;Pichilemu;Pichilemu;PICHILEMU;PICHILEMU;LI;LI
43318;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;29990;0;Sin descuento;29990;0;Retiro en tienda;Retiro en tienda;1;Zapatilla Angelica Negro Premium - Negro / 38;29990;29990;;0100072038;fulfilled;Condes;Condes;CONFES;CONFES;RM;RM
43317;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;19990;3990; Con descueento;23980;0;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Zapatilla Moscow Negro Premium - Negro / 38;19990;19990;44990;1838072038;fulfilled;Villa alemana ;Villa alemana ;VILLAALEMANA;VILLAALEMANA;VS;VS
43316;Solo 1;Pagado;Pagado;Sin despacho;Sin despacho;CLP;CLP;9990;8290; Con descueento;18280;0;Despacho Region;Despacho Region;1;Mochila Maura  Premium - Nude / TamaÃ±o Ãšnico;9990;9990;39990;6146075900;pending;Coronel;Coronel;CONCEPCIÃ“N;CONCEPCIÃ“N;BI;BI
43315;Solo 1;Pagado;Pagado;Despachado;Despachado;CLP;CLP;19990;3990; Con descueento;23980;0;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Zapatilla Moscow Negro Premium - Negro / 38;19990;19990;44990;1838072038;fulfilled;Santiago centro;Santiago centro;SANTIAGOCENTRO;SANTIAGOCENTRO;RM;RM
