Name;Mayores a 1;Pago 2;Despachos 2;Monedas 2;Shipping Method 2;Shipping Method;Cantidad;Producto;Precio oferta;Venta total;Precio normal;SKU;status despacho;Region 2
43352;Mayor a 1;Pagado;Incompleto;CLP;Retiro en tienda;Retiro en tienda;1;Zapatilla Brisbane Caf̩ Premium - Negro / 38;9990;9990;49990;1003204038;pending;RM
43352;Mayor a 1;Pagado;Incompleto;CLP;Retiro en tienda;;1;Zapatilla Monserrat Multicolor Premium - Multicolor / 37;9990;9990;39990;23072937;pending;RM
43351;Mayor a 1;Pagado;Sin despacho;CLP;Retiro en tienda;Retiro en tienda;2;Botin Nueva Orleans  Negro Premium - Negro / 38;19990;39980;39990;6001202038;pending;RM
43350;Mayor a 1;Pagado;Sin despacho;CLP;Retiro en tienda;Retiro en tienda;2;Botin Nueva Orleans  Negro Premium - Negro / 38;19990;39980;39990;6001202038;pending;RM
43349;Solo 1;Pagado;Sin despacho;CLP;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Bootie  Dallas  Premium - Negro / 37;19990;19990;39990;8802072037;pending;RM
43348;Solo 1;Pagado;Sin despacho;CLP;Retiro en tienda;Retiro en tienda;1;Botin Paris Burdeo Premium - Burdeo / 39;19990;19990;39990;8172078539;pending;RM
43347;Mayor a 1;Pagado;Sin despacho;CLP;Despacho Region;Despacho Region;1;Zapatilla Brisbane Negro Premium - Negro / 37;19990;19990;49990;1003202037;pending;CO
43347;Mayor a 1;Pagado;Sin despacho;CLP;Despacho Region;;1;Zapatilla Chester Blanco Premium - Blanco / 38;19990;19990;49990;1000071038;pending;CO
43346;Solo 1;Pagado;Sin despacho;CLP;Retiro en tienda;Retiro en tienda;1;Zapatilla Brisbane Negro Premium - Negro / 36;19990;19990;49990;1003202036;pending;RM
43345;Solo 1;Pagado;Sin despacho;CLP;Retiro en tienda;Retiro en tienda;1;Zapatilla Montreal  Premium - Negro / 35;19990;19990;39990;8381072035;pending;RM
43344;Solo 1;Pagado;Sin despacho;CLP;Despacho Region;Despacho Region;1;Botin Bucarest Taupe Premium - Taupe / 40;19990;19990;39990;3332184240;pending;LI
43343;Mayor a 1;Pagado;Sin despacho;CLP;Despacho Region Metropolitana;Despacho Region Metropolitana;3;Calcetin   Premium - Blanco / Tama̱o �_nico;990;2970;3990;7501000;pending;RM
43343;Mayor a 1;Pagado;Sin despacho;CLP;Despacho Region Metropolitana;;1;Botin Bucarest Taupe Premium - Taupe / 40;19990;19990;39990;3332184240;pending;RM
43342;Solo 1;Pagado;Despachado;CLP;Retiro en tienda;Retiro en tienda;1;Zapatilla Angelica Blanco Premium - Blanco / 36;29990;29990;0;100071036;fulfilled;RM
43341;Solo 1;Pagado;Sin despacho;CLP;Despacho Region;Despacho Region;1;Zapatilla Moscow Negro Premium - Negro / 38;19990;19990;44990;1838072038;pending;BI
43340;Solo 1;Pagado;Sin despacho;CLP;Despacho Region Metropolitana;Despacho Region Metropolitana;1;Zapatilla Angelica Negro Premium - Negro / 39;29990;29990;0;100072039;pending;RM
